SIGN,LOVE - WORDS,LOVE LANGUAGE,CAREER - CHARACTERISTICS,CAREER - SECTOR,CAREER - JOBS,MYSELF - TRAITS,MYSELF - CHALLENGES,MYSELF - TYPE,MYSELF - RULING PLANET,MYSELF - GEMSTONES,MYSELF - FULL MOON,MYSELF - YEAR OF THE DRAGON,COMPATIBILITY
Scorpio Metal Monkey,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Monkey: Passionate, Protective, Devoted, Adventurous",Scorpio: Physical Touch - Metal Monkey: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Monkey: Strategic planner, Skilled negotiator, Efficient problem-solver, Innovative thinker","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Monkey: Technology and Innovation, Entertainment and Media, Sales and Marketing","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Monkey: Inventor, Entertainer, Salesperson, Social Media Influencer","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Monkey: Energetic, Resourceful, Ambitious, Intelligent","Scorpio: Intense, secretive, controlling - Metal Monkey: Clever, sociable, mischievous, self-centered",Scorpio: Ambivert - Metal Monkey: Extrovert,Scorpio: Pluto - Metal Monkey: The Sun,"Scorpio: Pink Tourmaline, Topaz - Metal Monkey: Peridot, Pink Halite","Scorpio: Intensity, passion, potential for confrontations - Metal Monkey: Clever, playful, need for mental stimulation","Scorpio: Intensity, passion, regeneration - Metal Monkey: Intelligence, innovation, potential for success in new ventures","Scorpio: Cancer, Pisces - Metal Monkey: Water Dragon, Water Rat, Earth Dragon, Earth Rat"
Scorpio Metal Rooster,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Rooster: Loyal, Affirmative, Candid, Protective",Scorpio: Physical Touch - Metal Rooster: Acts of Service,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Rooster: Detail-oriented, Organized, Assertive, Strategic","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Rooster: Law and Legal Services, Administration and Management, Entrepreneurship","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Rooster: Journalist, Lawyer, Fashion Designer, Financial Advisor","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Rooster: Diligent, Power hungry, Reliable, Practical","Scorpio: Intense, secretive, controlling - Metal Rooster: Confident, organized, critical, attention-seeking",Scorpio: Ambivert - Metal Rooster: Ambivert,Scorpio: Pluto - Metal Rooster: Mercury,"Scorpio: Pink Tourmaline, Topaz - Metal Rooster: Citrine, Clear Quartz","Scorpio: Intensity, passion, potential for confrontations - Metal Rooster: Confident, organized, attention to detail","Scorpio: Intensity, passion, regeneration - Metal Rooster: Confidence, organization, potential for recognition and advancement","Scorpio: Cancer, Pisces - Metal Rooster: Water Snake, Water Ox, Earth Snake, Earth Ox"
Scorpio Metal Dog,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Dog: Faithful, Supportive, Compassionate, Devoted",Scorpio: Physical Touch - Metal Dog: Quality Time,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Dog: Diligent worker, Trustworthy colleague, Dedicated professional, Reliable team player","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Dog: Law Enforcement and Security, Social Services, Animal Care and Welfare, Environmental Services and Sustainability","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Dog: Police Officer, Security Guard, Veterinarian, Therapist","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Dog: Loyal, Unpredictable, Dependable, Protective","Scorpio: Intense, secretive, controlling - Metal Dog: Loyal, protective, trusting, judgmental",Scorpio: Ambivert - Metal Dog: Introvert,Scorpio: Pluto - Metal Dog: Venus,"Scorpio: Pink Tourmaline, Topaz - Metal Dog: Diamond, Smoky Quartz","Scorpio: Intensity, passion, potential for confrontations - Metal Dog: Loyal, protective, potential for moodiness","Scorpio: Intensity, passion, regeneration - Metal Dog: Loyalty, protection, potential for stability and security","Scorpio: Cancer, Pisces - Metal Dog: Water Tiger, Water Horse, Earth Tiger, Earth Horse"
Scorpio Metal Pig,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Pig: Loving, Nurturing, Affectionate, Dedicated",Scorpio: Physical Touch - Metal Pig: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Pig: Hardworking, Methodical, Supportive, Collaborative","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Pig: Food and Hospitality Industry, Healthcare and Wellness, Education and Training","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Pig: Chef, Nutritionist, Humanitarian Worker, Financial Advisor","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Pig: Strong, Generous, Reliable, Compassionate","Scorpio: Intense, secretive, controlling - Metal Pig: Generous, kind-hearted, indulgent, naive",Scorpio: Ambivert - Metal Pig: Ambivert,Scorpio: Pluto - Metal Pig: Pluto,"Scorpio: Pink Tourmaline, Topaz - Metal Pig: Ruby, Hematite","Scorpio: Intensity, passion, potential for confrontations - Metal Pig: Generous, indulgent, desire for comfort and relaxation","Scorpio: Intensity, passion, regeneration - Metal Pig: Abundance, indulgence, potential for financial gains and enjoyment","Scorpio: Cancer, Pisces - Metal Pig: Water Hare, Water Goat, Earth Hare, Earth Goat"
Scorpio Metal Rat,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Rat: Independent, Kind, Charming, Protective",Scorpio: Physical Touch - Metal Rat: Words of Affirmation,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Rat: Deliberate, Opportunistic, Skilled negotiator, Innovative thinker","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Rat: Finance and Banking, Sales and Negotiation, Entrepreneurship","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Rat: Entrepreneur, Investor, Salesperson, Writer","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Rat: Resourceful, Ambitious, Cunning, Wily","Scorpio: Intense, secretive, controlling - Metal Rat: Resourceful, adaptable, opportunistic, cunning",Scorpio: Ambivert - Metal Rat: Extrovert,Scorpio: Pluto - Metal Rat: Jupiter,"Scorpio: Pink Tourmaline, Topaz - Metal Rat: Garnet, Obsidian","Scorpio: Intensity, passion, potential for confrontations - Metal Rat: Resourceful, adaptable, potential for restlessness","Scorpio: Intensity, passion, regeneration - Metal Rat: Ambitious, opportunistic, potential for success.","Scorpio: Cancer, Pisces - Metal Rat: Water Dragon, Water Monkey, Earth Dragon, Earth Monkey"
Scorpio Metal Ox,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Ox: Loyal, Protective, Devoted, Stable",Scorpio: Physical Touch - Metal Ox: Acts of Service,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Ox: Hardworking, Methodical, Reliable, Tenacious","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Ox: Business and Finance, Education and Teaching, Engineering and Architecture, Law and Legal Services","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Ox: Farmer, Engineer, Chef, Banker","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Ox: Strong-willed, Dependable, Patient, Persistent","Scorpio: Intense, secretive, controlling - Metal Ox: Determined, reliable, traditional, stubborn",Scorpio: Ambivert - Metal Ox: Extrovert,Scorpio: Pluto - Metal Ox: Saturn,"Scorpio: Pink Tourmaline, Topaz - Metal Ox: Aquamarine, Lapis Lazuli","Scorpio: Intensity, passion, potential for confrontations - Metal Ox: Determined, reliable, desire for stability","Scorpio: Intensity, passion, regeneration - Metal Ox: Determined, steady progress, potential for breakthroughs","Scorpio: Cancer, Pisces - Metal Ox: Water Snake, Water Rooster, Earth Snake, Earth Rooster"
Scorpio Metal Tiger,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Tiger: Passionate, Protective, Adventurous, Devoted",Scorpio: Physical Touch - Metal Tiger: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Tiger: Ambitious, Competitive, Resourceful, Dynamic","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Tiger: Hospitality and Tourism, Military and Defense, Athletics and Sports, Law Enforcement","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Tiger: Military Officer, Athlete, Artist, Entrepreneur","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Tiger: Erratic, Assertive, Courageous, Charismatic","Scorpio: Intense, secretive, controlling - Metal Tiger: Courageous, confident, assertive, reckless",Scorpio: Ambivert - Metal Tiger: Extrovert,Scorpio: Pluto - Metal Tiger: Uranus,"Scorpio: Pink Tourmaline, Topaz - Metal Tiger: Sapphire, Jade","Scorpio: Intensity, passion, potential for confrontations - Metal Tiger: Courageous, passionate, possible impulsiveness","Scorpio: Intensity, passion, regeneration - Metal Tiger: Confidence, courage, opportunities for leadership","Scorpio: Cancer, Pisces - Metal Tiger: Water Horse, Water Dog, Earth Horse, Earth Dog"
Scorpio Metal Hare,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Hare: Gentle-hearted, Fragile, Thoughtful, Affectionate",Scorpio: Physical Touch - Metal Hare: Quality Time,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Hare: Strategic, Creative, Adaptable, Collaborative","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Hare: Social Services and Nonprofit Organizations, Healthcare and Medicine, Counseling and Therapy, Hospitality and Tourism","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Hare: Counselor, Social Worker, Teacher, Interior Designer","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Hare: Discerning, Intuitive, Diplomatic, Graceful","Scorpio: Intense, secretive, controlling - Metal Hare: Gentle, diplomatic, cautious, escapist",Scorpio: Ambivert - Metal Hare: Introvert,Scorpio: Pluto - Metal Hare: Neptune,"Scorpio: Pink Tourmaline, Topaz - Metal Hare: Pearl, Turquoise","Scorpio: Intensity, passion, potential for confrontations - Metal Hare: Sensitive, intuitive, need for emotional balance","Scorpio: Intensity, passion, regeneration - Metal Hare: Creativity, adaptability, potential for new beginnings","Scorpio: Cancer, Pisces - Metal Hare: Water Goat, Water Pig, Earth Goat, Earth Pig"
Scorpio Metal Dragon,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Dragon: Passionate, Independent, Dedicated, Magnetic",Scorpio: Physical Touch - Metal Dragon: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Dragon: Innovative, Influential, Commanding, Tenacious","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Dragon: Leadership and Management, Entrepreneurship, Entertainment and Creative Industries, Public Speaking","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Dragon: CEO, Politician, Actor/Actress, Entrepreneur","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Dragon: Majestic, Vain, Dynamic, Charismatic","Scorpio: Intense, secretive, controlling - Metal Dragon: Powerful, charismatic, visionary, egotistical",Scorpio: Ambivert - Metal Dragon: Extrovert,Scorpio: Pluto - Metal Dragon: Mars,"Scorpio: Pink Tourmaline, Topaz - Metal Dragon: Amethyst, Citrine","Scorpio: Intensity, passion, potential for confrontations - Metal Dragon: Charismatic, ambitious, potential for drama","Scorpio: Intensity, passion, regeneration - Metal Dragon: Fortunate, energetic, potential for achievement and growth","Scorpio: Cancer, Pisces - Metal Dragon: Water Monkey, Water Rat, Earth Monkey, Earth Rat"
Scorpio Metal Snake,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Snake: Seductive, Devoted, Observant, Enigmatic",Scorpio: Physical Touch - Metal Snake: Receiving gifts,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Snake: Analytical, Persuasive, Cunning, Ambitious","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Snake: Law and Legal Services, Psychology and Counseling, Investigation and Security","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Snake: Psychologist, Investigator, Healer, Researcher","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Snake: Mysterious, Conceited, Wise, Intuitive","Scorpio: Intense, secretive, controlling - Metal Snake: Wise, intuitive, secretive, suspicious",Scorpio: Ambivert - Metal Snake: Ambivert,Scorpio: Pluto - Metal Snake: Venus,"Scorpio: Pink Tourmaline, Topaz - Metal Snake: Opal, Auralite","Scorpio: Intensity, passion, potential for confrontations - Metal Snake: Wise, intuitive, inclination towards introspection","Scorpio: Intensity, passion, regeneration - Metal Snake: Transformation, wisdom, potential for spiritual growth","Scorpio: Cancer, Pisces - Metal Snake: Water Rooster, Water Ox, Earth Rooster, Earth Ox"
Scorpio Metal Horse,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Horse: Freedom-loving, Romantic, Spontaneous, Generous",Scorpio: Physical Touch - Metal Horse: Quality Time,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Horse: Dynamic, Independent, Competitive, Versatile","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Horse: Travel and Tourism, Transportation and Logistics, Sports and Recreation, Business and Finance","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Horse: Travel Guide, Athlete, Sales Representative, Marketing Manager","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Horse: Spirited, Adventurous, Energetic, Unconventional","Scorpio: Intense, secretive, controlling - Metal Horse: Adventurous, independent, restless, impulsive",Scorpio: Ambivert - Metal Horse: Extrovert,Scorpio: Pluto - Metal Horse: Mercury,"Scorpio: Pink Tourmaline, Topaz - Metal Horse: Topaz, Carnelian","Scorpio: Intensity, passion, potential for confrontations - Metal Horse: Adventurous, energetic, desire for freedom","Scorpio: Intensity, passion, regeneration - Metal Horse: Action-oriented, adventurous, potential for travel and exploration","Scorpio: Cancer, Pisces - Metal Horse: Water Tiger, Water Dog, Earth Tiger, Earth Dog"
Scorpio Metal Goat,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Metal Goat: Tenderhearted, Amorous, Uplifting, Devoted",Scorpio: Physical Touch - Metal Goat: Words of Affirmation,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Metal Goat: Creative, Sensitive, Nurturing, Collaborative","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Metal Goat: Arts and Creativity, Environmental Conservation, Social Services","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Metal Goat: Artist, Musician, Environmentalist, Social Worker","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Metal Goat: Gentle, Complex, Artistic, Harmonious","Scorpio: Intense, secretive, controlling - Metal Goat: Creative, sensitive, passive, indecisive",Scorpio: Ambivert - Metal Goat: Introvert,Scorpio: Pluto - Metal Goat: The Moon,"Scorpio: Pink Tourmaline, Topaz - Metal Goat: Emerald, Rose Quartz","Scorpio: Intensity, passion, potential for confrontations - Metal Goat: Creative, compassionate, potential for indecision","Scorpio: Intensity, passion, regeneration - Metal Goat: Harmony, prosperity, potential for creative endeavors","Scorpio: Cancer, Pisces - Metal Goat: Water Pig, Water Hare, Earth Pig, Earth Hare"
Scorpio Water Monkey,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Monkey: Charming, Spontaneous, Loving, Flirtatious",Scorpio: Physical Touch - Water Monkey: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Monkey: Innovative, Versatile, Adaptable, Agile","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Monkey: Technology and Innovation, Entertainment and Media, Sales and Marketing","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Monkey: Inventor, Entertainer, Salesperson, Social Media Influencer","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Monkey: Witty, Clever, Playful, Curious","Scorpio: Intense, secretive, controlling - Water Monkey: Clever, sociable, mischievous, self-centered",Scorpio: Ambivert - Water Monkey: Extrovert,Scorpio: Pluto - Water Monkey: The Sun,"Scorpio: Pink Tourmaline, Topaz - Water Monkey: Peridot, Pink Halite","Scorpio: Intensity, passion, potential for confrontations - Water Monkey: Clever, playful, need for mental stimulation","Scorpio: Intensity, passion, regeneration - Water Monkey: Intelligence, innovation, potential for success in new ventures","Scorpio: Cancer, Pisces - Water Monkey: Metal Dragon, Metal Rat, Wood Dragon, Wood Rat"
Scorpio Water Rooster,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Rooster: Loyal, Supportive, Thoughtful, Emotional",Scorpio: Physical Touch - Water Rooster: Acts of Service,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Rooster: Creative, Detail-oriented, Strategic, Efficient","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Rooster: Law and Legal Services, Administration and Management, Entrepreneurship","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Rooster: Journalist, Lawyer, Fashion Designer, Financial Advisor","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Rooster: Observant, Under the radar, Diligent, Reliable","Scorpio: Intense, secretive, controlling - Water Rooster: Confident, organized, critical, attention-seeking",Scorpio: Ambivert - Water Rooster: Ambivert,Scorpio: Pluto - Water Rooster: Mercury,"Scorpio: Pink Tourmaline, Topaz - Water Rooster: Citrine, Clear Quartz","Scorpio: Intensity, passion, potential for confrontations - Water Rooster: Confident, organized, attention to detail","Scorpio: Intensity, passion, regeneration - Water Rooster: Confidence, organization, potential for recognition and advancement","Scorpio: Cancer, Pisces - Water Rooster: Metal Ox, Metal Snake, Wood Ox, Wood Snake"
Scorpio Water Dog,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Dog: Devoted, Nurturing, Affectionate, Faithful",Scorpio: Physical Touch - Water Dog: Quality Time,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Dog: Creative, Cooperative, Trustworthy, Supportive","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Dog: Law Enforcement and Security, Social Services, Animal Care and Welfare, Environmental Services and Sustainability","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Dog: Police Officer, Security Guard, Veterinarian, Therapist","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Dog: Sensitive, Family-oriented, Empathetic, Protective","Scorpio: Intense, secretive, controlling - Water Dog: Loyal, protective, trusting, judgmental",Scorpio: Ambivert - Water Dog: Introvert,Scorpio: Pluto - Water Dog: Venus,"Scorpio: Pink Tourmaline, Topaz - Water Dog: Diamond, Smoky Quartz","Scorpio: Intensity, passion, potential for confrontations - Water Dog: Loyal, protective, potential for moodiness","Scorpio: Intensity, passion, regeneration - Water Dog: Loyalty, protection, potential for stability and security","Scorpio: Cancer, Pisces - Water Dog: Metal Tiger, Metal Horse, Wood Tiger, Wood Horse"
Scorpio Water Pig,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Pig: Adoring, Nurturing, Dedicated, Emotional",Scorpio: Physical Touch - Water Pig: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Pig: Reassuring, Creative, Artistic, Adaptive","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Pig: Food and Hospitality Industry, Healthcare and Wellness, Education and Training","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Pig: Chef, Nutritionist, Humanitarian Worker, Financial Advisor","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Pig: Compassionate, Intuitive, Gentle-hearted, Empathetic","Scorpio: Intense, secretive, controlling - Water Pig: Generous, kind-hearted, indulgent, naive",Scorpio: Ambivert - Water Pig: Ambivert,Scorpio: Pluto - Water Pig: Pluto,"Scorpio: Pink Tourmaline, Topaz - Water Pig: Ruby, Hematite","Scorpio: Intensity, passion, potential for confrontations - Water Pig: Generous, indulgent, desire for comfort and relaxation","Scorpio: Intensity, passion, regeneration - Water Pig: Abundance, indulgence, potential for financial gains and enjoyment","Scorpio: Cancer, Pisces - Water Pig: Metal Hare, Metal Goat, Wood Hare, Wood Goat"
Scorpio Water Rat,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Rat: Fun, Communicative, Devoted, Adaptable",Scorpio: Physical Touch - Water Rat: Words of Affirmation,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Rat: Opportunistic, Versatile, Diplomatic, Inventive","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Rat: Finance and Banking, Sales and Negotiation, Entrepreneurship","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Rat: Entrepreneur, Investor, Salesperson, Writer","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Rat: Resourceful, Observant, Strategic, Sociable","Scorpio: Intense, secretive, controlling - Water Rat: Resourceful, adaptable, opportunistic, cunning",Scorpio: Ambivert - Water Rat: Extrovert,Scorpio: Pluto - Water Rat: Jupiter,"Scorpio: Pink Tourmaline, Topaz - Water Rat: Garnet, Obsidian","Scorpio: Intensity, passion, potential for confrontations - Water Rat: Resourceful, adaptable, potential for restlessness","Scorpio: Intensity, passion, regeneration - Water Rat: Ambitious, opportunistic, potential for success.","Scorpio: Cancer, Pisces - Water Rat: Metal Dragon, Metal Monkey, Wood Dragon, Wood Monkey"
Scorpio Water Ox,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Ox: Supportive, Devoted, Loyal, Grounded",Scorpio: Physical Touch - Water Ox: Acts of Service,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Ox: Methodical, Stable, Conscientious, Enduring","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Ox: Business and Finance, Education and Teaching, Engineering and Architecture, Law and Legal Services","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Ox: Farmer, Engineer, Chef, Banker","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Ox: Patient, Reliable, Relaxed, Easygoing","Scorpio: Intense, secretive, controlling - Water Ox: Determined, reliable, traditional, stubborn",Scorpio: Ambivert - Water Ox: Introvert,Scorpio: Pluto - Water Ox: Saturn,"Scorpio: Pink Tourmaline, Topaz - Water Ox: Aquamarine, Lapis Lazuli","Scorpio: Intensity, passion, potential for confrontations - Water Ox: Determined, reliable, desire for stability","Scorpio: Intensity, passion, regeneration - Water Ox: Determined, steady progress, potential for breakthroughs","Scorpio: Cancer, Pisces - Water Ox: Metal Rooster, Metal Snake, Wood Rooster, Wood Snake"
Scorpio Water Tiger,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Tiger: Passionate, Protective, Spontaneous, Warm-hearted",Scorpio: Physical Touch - Water Tiger: Physical Touch,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Tiger: Dynamic, Strategic, Versatile, Imaginative","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Tiger: Hospitality and Tourism, Military and Defense, Athletics and Sports, Law Enforcement","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Tiger: Military Officer, Athlete, Artist, Entrepreneur","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Tiger: Intuitive, Adaptable, Tenacious, Compassionate","Scorpio: Intense, secretive, controlling - Water Tiger: Courageous, confident, assertive, reckless",Scorpio: Ambivert - Water Tiger: Ambivert,Scorpio: Pluto - Water Tiger: Uranus,"Scorpio: Pink Tourmaline, Topaz - Water Tiger: Sapphire, Jade","Scorpio: Intensity, passion, potential for confrontations - Water Tiger: Courageous, passionate, possible impulsiveness","Scorpio: Intensity, passion, regeneration - Water Tiger: Confidence, courage, opportunities for leadership","Scorpio: Cancer, Pisces - Water Tiger: Metal Horse, Metal Dog, Wood Horse, Wood Dog"
Scorpio Water Hare,"Scorpio: Deeply loyal, Emotionally intense, Protective, Intimate, Magnetic - Water Hare: Affectionate, Romantic, Nurturing, Understanding",Scorpio: Physical Touch - Water Hare: Quality Time,"Scorpio: Perceptive, Resourceful, Resilient, Investigative, Strategic, Intrepid, Depth-seeking - Water Hare: Diplomatic, Creative, Supportive, Team-oriented","Scorpio: Psychology and Counseling, Investigation and Security, Occult and Mysticism - Water Hare: Social Services and Nonprofit Organizations, Healthcare and Medicine, Counseling and Therapy, Hospitality and Tourism","Scorpio: Detective, Psychologist, Surgeon, Investigative Journalist, Forensic Scientist, Private Investigator, Financial Trader, Psychiatrist - Water Hare: Counselor, Social Worker, Teacher, Interior Designer","Scorpio: Intense, Mysterious, Determined, Passionate, Resourceful, Resilient - Water Hare: Sensitive, Intuitive, Compassionate, Harmonious","Scorpio: Intense, secretive, controlling - Water Hare: Gentle, diplomatic, cautious, escapist",Scorpio: Ambivert - Water Hare: Introvert,Scorpio: Pluto - Water Hare: Neptune,"Scorpio: Pink Tourmaline, Topaz - Water Hare: Pearl, Turquoise","Scorpio: Intensity, passion, potential for confrontations - Water Hare: Sensitive, intuitive, need for emotional balance","Scorpio: Intensity, passion, regeneration - Water Hare: Creativity, adaptability, potential for new beginnings","Scorpio: Cancer, Pisces - Water Hare: Metal Goat, Metal Pig, Wood Goat, Wood Pig"
